date,race,mode,banker_no,banker_name,legs,banker_finish,legs_finish,win_hit,qin_hit,qpl_hit,pnl_est
20260406,10,box_qin,,,#4 WINNING OVATION|#8 SIX PACK|#1 HEALTHY HAPPY|#7 LO RIDER|#6 MUGEN|#9 STEPS AHEAD|#2 NEW FOREST|#3 JOHANNES BRAHMS,,4:2|8:3|1:4|7:8|6:1|9:7|2:9|3:10,False,True,True,0.62
20260406,11,box_qin,,,#6 FORTUNE BOY|#8 MONEY CATCHER|#5 FAMILY JEWEL|#4 AERODYNAMICS|#11 MIGHTY STRENGTH|#1 FALLON,,6:7|8:5|5:10|4:1|11:4|1:9,False,False,False,-1.00
20260408,1,banker_qpl,1,DECISION LINK,#10 ALWAYS MY FOLKS|#12 TEAM HAPPY|#2 LEGENDARY IMPACT|#6 SPARKLE AND GOLD|#8 PODIUM|#5 ONE AND ONLY,1,10:12|12:4|2:11|6:9|8:7|5:10,True,False,False,-1.00
20260408,2,banker_qpl,12,VIVACIOUS WIN,#10 YIU CHEUNG VICTORY|#9 PRECISION HOPE|#8 GOLDEN DARCI|#4 AESTHETICISM|#6 CELTIC TIMES,2,10:3|9:9|8:11|4:8|6:5,False,False,True,0.23
20260408,3,banker_qpl,2,BEAUTY THUNDER,#1 SUPERB KING|#12 HAPPY UNITED|#10 GET FRIENDLY|#9 VIVA BOSS|#7 JOY STAR|#5 FORZA LEADER,4,1:3|12:5|10:9|9:11|7:10|5:8,False,False,False,-1.00
20260408,4,box_qin,,,#7 GOLDEN BRILLIANT|#11 EXCELLENT BOY|#8 INCANTO STAR|#9 WHOWROTETHATSONG|#4 AUTOMATED|#3 KING OF SELECTION|#10 WINNING DATA,,7:1|11:5|8:9|9:7|4:10|3:12|10:11,False,False,False,-1.00
20260408,5,box_qin,,,#2 MONARCH COUNTY|#4 FIND MY LOVE|#11 SAME TO YOU|#6 FREE PONY|#7 FORERUNNER|#12 FLYING CHRISTIE|#8 MARVEL AND GOLD,,2:7|4:6|11:5|6:3|7:4|12:12|8:8,False,False,False,-1.00
20260408,6,banker_qpl,11,GAMEPLAYER ELITE,#6 LUCKY MCQUEEN|#1 CROSSBORDERDUDE|#2 SKY CAP|#4 TACTICAL COMMAND,2,6:4|1:3|2:1|4:6,False,True,True,-0.08
20260408,7,banker_qpl,8,STORMI,#6 SUPER UNICORN|#2 SKY VINO|#5 VIVA GRACIOUSNESS|#4 BLAZING WUKONG|#3 NATURAL NUMBERS|#7 ROMANTIC GLADIATOR,4,6:9|2:2|5:8|4:5|3:10|7:6,False,False,False,-1.00
20260408,8,banker_qpl,9,ACE CHAMPION,#10 SPIRIT OF PEACE|#1 CELESTIAL HERO|#7 POWER KOEPP|#5 EXCEED THE LIMIT|#8 SPICY GOLD|#3 WONDER KIT,7,10:4|1:8|7:6|5:5|8:11|3:10,False,False,False,-1.00
